things,places
"FROSTINGS,VANILLA,CREAMY,RTE",
"FLAN,CARAMEL CUSTARD,DRY MIX,PREP W/ 2% MILK",
"FLAN,CARAMEL CUSTARD,DRY MIX,PREP W/ WHL MILK",
"PUDDINGS,VANILLA,RTE,FAT FREE",
"PUDDINGS,TAPIOCA,RTE,FAT FREE",
"PUDDINGS,CHOC,RTE,FAT FREE",
"CANDIES,HERSHEY'S MILK CHOC W/ ALMOND BITES",
"CANDIES,KIT KAT BITES",
"CANDIES,REESE'S BITES",
"CANDIES,REESE'S NUTRAGEOUS CANDY BAR",
"FROSTINGS,CHOC,CREAMY,DRY MIX",
"FROSTINGS,CHOC,CREAMY,DRY MIX,PREP W/ BUTTER",
"CANDIES,HEATH BITES",
"FROSTINGS,VANILLA,CREAMY,DRY MIX",
"FROSTINGS,WHITE,FLUFFY,DRY MIX",
"FROSTINGS,WHITE,FLUFFY,DRY MIX,PREP W/H2O",
"CANDIES,ALMOND JOY BITES",
"CANDIES,REESESTICKS CRISPY WAFERS,PNUT BUTTER,MILK CHOC",
"CANDIES,HERSHEY,KIT KAT BIG KAT BAR",
"CANDIES,REESE'S,FAST BREAK,MILK CHOC PNT BTR & SFT NUGTS",
"CANDIES,MASTERFOODS USA,DOVE MILK CHOC",
"CANDIES,MASTERFOODS USA,DOVE DK CHOC",
"CANDIES,MASTERFOODS USA,MILKY WAY CARAMELS,MILK CHOC COVERED",
"CANDIES,MASTERFOODS USA,MILKY WAY CARAMELS. DK CHOC COVERED",
"ICE CREAMS,HEALTHY CHOIC PRALINE & CARAMEL",
"ICE CREAMS,VANILLA,LT,NO SUGAR ADDED",
"FROZEN NOVELTIES,FRUIT & JUC BARS",
"ICE CREAMS,CHOC,LT,NO SUGAR ADDED",
"CANDIES,DK CHOC COATD COFFEE BNS",
"SNACKS,GENERAL MILLS,BETTY CROCKER FRT RL UPS,BRY FLV,W/VT C",
"ICE CREAMS,CHOC",
"ICE CREAMS,STRAWBERRY",
"SNACKS,FARLEY CANDY,FARLEY FRUIT SNACKS,W/VITAMINS A,C,&E",
"CANDIES,MILK CHOC COATD COFFEE BNS",
"FROZEN NOVELTIES,ICE TYPE,LIME",
"FROZEN NOVELTIES,ICE TYPE,ITALIAN,REST-PREP",
"FROZEN NOVELTIES,ICE TYPE,POP",
"CANDIES,MASTERFOODS USA,M&M'S CRISPY CHOC CANDIES",
"FROZEN YOGURTS,VANILLA,SOFT-SERVE",
"FRUIT BUTTERS,APPLE",
"CANDIES,MASTERFOODS USA,SNICKERS MUNCH BAR",
HONEY,
JAMS AND PRESERVES,
JELLIES,
"CANDIES,FUDGE,CHOC MARSHMLLW,W/ NUTS,PREPARED-BY-RECIPE",
"CANDIES,MASTERFOODS USA,SNICKERS ALMOND BAR",
"MARMALADE,ORANGE",
MOLASSES,
"CANDIES,MASTERFOODS USA,POP'ABLES SNICKERS BRAND BITE SIZE",
"CANDIES,MASTERFOODS USA,POP'ABLES MILKY WAY BRAND BITE SIZE",
"CANDIES,MASTERFOODS USA,POP'ABLES 3 MUSKETEERS BITE SIZE",
"CANDIES,MASTERFOODS USA,STARBURST FRUIT CHEWS,FRUIT & CREME",
"PECTIN,UNSWTND,DRY MIX",
"PIE FILLINGS,APPL,CND",
"CANDIES,MASTERFOODS USA,STARBURST FRUIT CHEWS,TROPICAL",
"PIE FILLINGS,CND,CHERRY",
"CANDIES,MASTERFOODS USA,STARBURST SOUR FRUIT CHEWS",
"PUDDINGS,BANANA,DRY MIX,INST",
"PUDDINGS,BANANA,DRY MIX,INST,PREP W/ WHL MILK",
"PUDDINGS,BANANA,DRY MIX,REG",
"PUDDINGS,BANANA,DRY MIX,REG,PREP W/ WHL MILK",
"PUDDINGS,COCNT CRM,DRY MIX,INST",
"PUDDINGS,COCNT CRM,DRY MIX,INST,PREP W/ WHL MILK",
"PUDDINGS,COCNT CRM,DRY MIX,REG",
"PUDDINGS,COCNT CRM,DRY MIX,REG,PREP W/ WHL MILK",
"CANDIES,MASTERFOODS USA,COCOAVIA CHOC BAR",
"CANDIES,MASTERFOODS USA,COCOAVIA BLUEBERRY & ALMOND CHOC BAR",
"CANDIES,MASTERFOODS USA,COCOAVIA CRISPY CHOC BAR",
"PUDDINGS,LEMON,DRY MIX,INST",
"PUDDINGS,LEMON,DRY MIX,INST,PREP W/ WHL MILK",
"PUDDINGS,LEMON,DRY MIX,REG",
"PUDDING,LEMON,DRY MIX,REG,PREP W/ SUGAR,EGG YOLK & H2O",
"SUGARS,BROWN",
"SUGARS,GRANULATED",
"SUGARS,POWDERED",
"SWEETENERS,TABLETOP,ASPRT,EQ,PACKETS",
"SUGARS,MAPLE",
"SYRUPS,CHOC,HERSHEY'S GENUINE CHOC FLAV LITE SYRUP",
"SYRUPS,CHOC,FUDGE-TYPE",
"SYRUPS,CORN,DK",
"SYRUPS,CORN,LT",
"SYRUPS,CORN,HIGH-FRUCTOSE",
"SYRUPS,MALT",
"SYRUPS,MAPLE",
"SYRUPS,SORGHUM",
"CANDIES,MASTERFOODS USA,SNICKERS CRUNCHER",
"SYRUPS,TABLE BLENDS,PANCAKE,W/2% MAPLE",
"SYRUPS,TABLE BLENDS,CANE&15% MAPLE",
"SYRUPS,TABLE BLENDS,CORN,REFINER,&SUGAR",
"CANDIES,MASTERFOODS USA,SKITTLES WILD BERRY BITE SIZE",
"TOPPINGS,BUTTERSCOTCH OR CARAMEL",
"TOPPINGS,MARSHMLLW CRM",
"TOPPINGS,PINEAPPLE",
"TOPPINGS,NUTS IN SYRUP",
"CANDIES,MASTERFOODS USA,SKITTLES TROPICAL BITE SIZE CANDIES",
"CANDIES,MASTERFOODS USA,SKITTLES SOURS ORIGINAL",
"CANDIES,MASTERFOODS USA,SKITTLES ORIGINAL BITE SIZE CANDIES",
"FROSTINGS,VANILLA,CREAMY,DRY MIX,PREP W/ MARGARINE",
"FROSTINGS,CHOC,CREAMY,DRY MIX,PREP W/ MARGARINE",
"FROSTINGS,GLAZE,PREPARED-FROM-RECIPE",
"CANDIES,FUDGE,CHOC MARSHMLLW,PREPARED-FROM-RECIPE",
"CANDIES,TAFFY,PREPARED-FROM-RECIPE",
"CANDIES,TOFFEE,PREPARED-FROM-RECIPE",
"CANDIES,DIVINITY,PREPARED-FROM-RECIPE",
"FROZEN NOVELTIES,ICE TYPE,PINEAPPLE-COCONUT",
"FROZEN YOGURTS,CHOC,SOFT-SERVE",
BANANA CHIPS,
"CORNNUTS,BARBECUE-FLAVOR",
"CORNNUTS,NACHO-FLAVOR",
"GRANOLA BARS,SOFT,UNCOATED,CHOC CHIP",
"GRANOLA BARS,SOFT,UNCOATED,CHOC CHIP,GRAHAM&MARSHMLLW",
"GRANOLA BARS,SOFT,UNCOATED,NUT&RAISIN",
"SNACKS,BF STKS,SMOKED",
"PORK SKINS,BARBECUE-FLAVOR",
"FROSTING,GLAZ,CHC,PREP-FRM-RCIP,W/ BUTR,NFSMI RECIP NO. C-32",
"SNACK,POTATO CHIPS,MADE FROM DRIED POTATOES,PLN",
"POTATO CHIPS,PLAIN,SALTED",
"POTATO CHIPS,MADE FROM DRIED POTATOES,CHEESE-FLAVOR",
"RICE CAKES,BROWN RICE,CORN",
"RICE CAKES,BROWN RICE,MULTIGRAIN",
POTATO STICKS,
"RICE CAKES,BROWN RICE,RYE",
"SESAME STKS,WHEAT-BASED,SALTED",
"GRANOLA BARS,HARD,PNUT BUTTER",
"POTATO CHIPS,CHEESE-FLAVOR",
"POTATO CHIPS,LIGHT",
"SNACKS,POTATO CHIPS,FAT-FREE,MADE W/OLESTRA",
"SNACKS,TORTILLA CHIPS,NACHO-FLAVOR,RED FAT",
"TORTILLA CHIPS,LOFAT,BKD WO/FAT",
"CHEESE PUFFS&TWISTS,CORN BSD,LOFAT",
"SNACKS,GRANOLA BAR,FRUIT-FILLED,NONFAT",
"POPCORN,SUGAR SYRUP/CARAMEL,FAT-FREE",
"POTATO CHIPS,FAT FREE,SALTED",
"SNACKS,KELLOGG,KELLOGG'S RICE KRISPIES TREATS SQUARES",
"SNACKS,KELLOGG'S LOFAT GRANOLA BAR,CRUNCHY ALMD/BRN SUGAR",
"SNACKS,M&M MARS,KUDOS WHL GRAIN BARS,CHOC CHIP",
"SNACKS,KELLOGG,KELLOGG'S NUTRI-GRAIN CRL BARS,FRUIT-FILLED",
"SNACKS,TORTILLA CHIPS,LOFAT,MADE W/OLESTRA,NACHO CHS",
"Snacks, potato chips, from dried potatoes, fat-free, olestra",
TARO CHIPS,
"CANDIES,SEMISWEET CHOC,MADE W/BUTTER",
"GELATIN DSSRT,DRY MIX,W/ ADDED VIT C,SODIUM-CITRATE & SALT",
"GELATIN DSSRT,DRY MIX,RED CAL,W/ ASPRT,ADDED P,K,NA,VIT C",
"GELATIN DSSRT,DRY MIX,RED CAL,W/ ASPRT,NO ADDED NA",
"PUDDINGS,BANANA,DRY MIX,INST,W/ ADDED OIL",
"PUDDINGS,BANANA,DRY MIX,REG,W/ ADDED OIL",
"PUDDINGS,LEMON,DRY MIX,REG,W/ ADDED OIL,K,NA",
"PUDDINGS,TAPIOCA,DRY MIX,W/ NO ADDED SALT",
"PUDDINGS,VANILLA,DRY MIX,REG,W/ ADDED OIL",
"JAMS&PRESERVES,APRICOT",
"SYRUPS,TABLE BLENDS,PANCAKE,W/2% MAPLE,W/ K",
"CORN CAKES,VERY LO NA",
"SNACKS,CORN-BASED,EXTRDD,PUFFS OR TWISTS,CHEESE-FLAVOR,UNENR",
"SNACKS,CORN-BASE,EXTRUD,CHIPS,BARBECUE-FLAVOR,W/ENR MASA FLR",
"POPCORN,AIR-POPPED,WHITE POPCORN",
"POPCORN,OIL-POPPED,WHITE POPCORN",
"POTATO CHIPS,PLN,MADE W/PART HYDR SOYBN OIL,SALTED",
"POTATO CHIPS,PLN,MADE W/PART HYDR SOYBN OIL,UNSALTED",
"POTATO CHIPS,PLN,UNSALTED",
"PRETZELS,HARD,PLN,MADE W/UNENR FLR,SALTED",
"PRETZELS,HARD,PLN,MADE W/UNENR FLR,UNSALTED",
"SNACKS,PRETZELS,HARD,PLN,MADE W/ ENR FLR,UNSALTED",
"RICE CAKES,BROWN RICE,PLN,UNSALTED",
"RICE CAKES,BROWN RICE,BUCKWHEAT,UNSALTED",
"RICE CAKES,BROWN RICE,MULTIGRAIN,UNSALTED",
"RICE CAKES,BROWN RICE,SESAME SD,UNSALTED",
"SESAME STKS,WHEAT-BASED,UNSALTED",
"TRAIL MIX,REG,UNSALTED",
"TRAIL MIX,REG,W/CHOC CHIPS,UNSALTED NUTS&SEEDS",
"POTATO CHIPS,WO/SALT,RED FAT",
"TORTILLA CHIPS,LOFAT,UNSALTED",
"FROZEN NOVELTIES,JUC TYPE,POPSICLE SCRIBBLERS",
"SNACKS,TORTILLA CHIPS,NACHO-FLAVOR,MADE W/ENR MASA FLR",
"CANDIES,SUGAR-COATED ALMONDS",
"COCOA,DRY PDR,HI-FAT OR BRKFST,PLN",
"COCOA,DRY PDR,HI-FAT OR BRKFST,PROC W/ALKALI",
"CANDIES,SOFT FRUIT & NUT SQUARES",
"ICE CREAMS,VANILLA,FAT FREE",
"SWEETENERS,TABLETOP,SUCRALOSE,SPLENDA PACKETS",
"FROZEN NOVELTIES,NO SUGAR ADDED,FUDGESICLE POPS",
"FROZEN NOVELTIES,FAT FREE FUDGESICLE BARS",
"FROZ NOVELTIES,ICE TYPE,SUGAR FREE,ORNGE,CHRY,& GRP POPSICLE",
"FRZ NVL, KLONDIKE,SLIM-A-BEAR FUDG BR,98% FT FR,NO SGR ADDED",
"ICE CREAMS,BREYERS,ALL NAT LT VANILLA",
"ICE CREAMS,BREYERS,ALL NAT LT FRENCH VANILLA",
"ICE CREAMS,BREYERS,98% FAT FREE VANILLA",
"ICE CREAMS,BREYERS,ALL NAT LT VANILLA CHOC STRAWBERRY",
"ICE CREAMS,BREYERS,ALL NAT LT MINT CHOC CHIP",
"ICE CREAMS,BREYERS,NO SUGAR ADDED,BUTTER PECAN",
"ICE CREAMS,BREYERS,NO SUGAR ADDED,FRENCH VANILLA",
"ICE CREAMS,BREYERS,NO SUGAR ADDED,VANILLA",
"ICE CREAMS,BREYERS,NO SUGAR ADDED,VANILLA FUDGE TWIRL",
"ICE CREAMS,BREYERS,NO SUGAR ADDED,VANILLA CHOC STRAWBERRY",
"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR VANILLA CONE",
"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR CHOC CONE",
"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR VANILLA SNDWCH",
"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR CHOC SNDWCH",
"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR MINT SNDWCH",
"FROZEN NOVL,KLONDIKE,SLIM-A-BEAR,NO SGR ADDED,STICKLESS BAR",
"FROZEN NOVELTIES,NO SUGAR ADDED CREAMSICLE POPS",
"FROZEN NOVELTIES,SUGAR FREE,CREAMSICLE POPS",
"ICE CREAMS,BREYERS,ALL NAT LT FRENCH CHOC",
"ICE CREAMS,BREYERS,98% FAT FREE CHOC",
"ICE CREAMS,BREYERS,NO SUGAR ADDED,CHOC CARAMEL",
"CANDIES,REESE'S FAST BREAK,CANDY BAR",
"CANDIES,MASTERFOODS USA,COCOAVIA CHOC COVERED ALMONDS",
"ICE CREAMS,REG,LO CARBOHYDRATE,VANILLA",
"ICE CREAMS,REG,LO CARBOHYDRATE,CHOC",
"CANDIES,CHOC,DK,45-59% CACAO SOL",
"CANDIES,CHOC,DK,60-69% CACAO SOL",
"CANDIES,CHOC,DK,70-85% CACAO SOL",
"CANDIES,CHOC,DK,NFS",
"AMARANTH,UNCKD",
"AMARANTH GRAIN,CKD",
ARROWROOT FLOUR,
"BARLEY,HULLED",
"BARLEY,PEARLED,RAW",
"BARLEY,PEARLED,COOKED",
BUCKWHEAT,
"BUCKWHEAT GROATS,RSTD,DRY",
"BUCKWHEAT GROATS,RSTD,CKD",
"BUCKWHEAT FLR,WHOLE-GROAT",
"BULGUR,DRY",
"BULGUR,COOKED",
"CORN,YELLOW",
"CORN BRAN,CRUDE",
"CORN FLR,WHOLE-GRAIN,YEL",
"CORN FLR,MASA,ENR,WHITE",
"CORN FLR,DEGERMED,UNENR,YEL",
"CORNMEAL,WHOLE-GRAIN,YEL",
"CORNMEAL,DEGERMED,ENR,YEL",
"CORNMEAL,SELF-RISING,BOLTED,PLN,ENR,YEL",
"CORNMEAL,SELF-RISING,BOLTED,W/WHEAT FLR,ENR,YEL",
"CORNMEAL,SELF-RISING,DEGERMED,ENR,YEL",
CORNSTARCH,
"COUSCOUS,DRY",
"COUSCOUS,COOKED",
"HOMINY,CANNED,WHITE",
"MILLET,RAW",
"MILLET,COOKED",
"OAT BRAN,RAW",
"OAT BRAN,COOKED",
"QUINOA,UNCKD",
"RICE,BROWN,LONG-GRAIN,RAW",
"RICE,BROWN,LONG-GRAIN,CKD",
OATS,
"RICE,BROWN,MEDIUM-GRAIN,RAW",
"RICE,BROWN,MEDIUM-GRAIN,CKD",
"RICE,WHITE,LONG-GRAIN,REG,RAW,ENR",
"RICE,WHITE,LONG-GRAIN,REG,CKD",
"RICE,WHITE,LONG-GRAIN,PARBLD,ENR,DRY",
"RICE,WHITE,LONG-GRAIN,PARBLD,ENR,CKD",
"RICE,WHITE,LONG-GRAIN,PRECKD OR INST,ENR,DRY",
"RICE,WHITE,LONG-GRAIN,PRECKD OR INST,ENR,PREP",
"RICE,WHITE,MEDIUM-GRAIN,RAW,ENR",
"RICE,WHITE,MEDIUM-GRAIN,CKD",
"RICE,WHITE,SHORT-GRAIN,RAW",
"RICE,WHITE,SHORT-GRAIN,CKD",
"RICE,WHITE,GLUTINOUS,RAW",
"RICE,WHITE,GLUTINOUS,CKD",
"RICE,WHITE,WITH PASTA,DRY",
"RICE,WHITE,W/PASTA,CKD",
"RICE,WHITE,STMD,CHINESE RESTAURANT",
"RICE BRAN,CRUDE",
"RICE FLOUR,WHITE",
RYE,
"RYE FLOUR,DARK",
"RYE FLOUR,MEDIUM",
"RYE FLOUR,LIGHT",
"SEMOLINA,ENRICHED",
SORGHUM,
"TAPIOCA,PEARL,DRY",
TRITICALE,
"TRITICALE FLR,WHOLE-GRAIN",
"WHEAT,HARD RED SPRING",
"WHEAT,HARD RED WINTER",
"WHEAT,SOFT RED WINTER",
"WHEAT,HARD WHITE",
"WHEAT,SOFT WHITE",
"WHEAT,DURUM",
"WHEAT BRAN,CRUDE",
"WHEAT GERM,CRUDE",
"WHEAT FLOUR,WHOLE-GRAIN",
"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,BLEACHED",
"WHEAT FLR,WHITE,ALL-PURPOSE,SELF-RISING,ENR",
"WHEAT FLR,WHITE,BREAD,ENR",
"WHEAT FLR,WHITE,CAKE,ENR",
"WHEAT FLR,WHITE,TORTILLA MIX,ENR",
"WHEAT,SPROUTED",
"WILD RICE,RAW",
"WILD RICE,COOKED",
"RICE FLOUR,BROWN",
"PASTA,CORN,DRY",
"PASTA,CORN,COOKED",
"PASTA,FRESH-REFRIGERATED,PLN,AS PURCHASED",
"PASTA,FRESH-REFRIGERATED,PLN,CKD",
"PASTA,FRESH-REFRIGERATED,SPINACH,AS PURCHASED",
"PASTA,FRESH-REFRIGERATED,SPINACH,CKD",
"PASTA,HOMEMADE,MADE W/EGG,CKD",
"PASTA,HOMEMADE,MADE WO/EGG,CKD",
"MACARONI,DRY,ENR",
"MACARONI,COOKED,ENRICHED",
"MACARONI,PROTEIN-FORTIFIED,DRY,ENR,(N X 5.70)",
"MACARONI,PROTEIN-FORTIFIED,CKD,ENR,(N X 5.70)",
"MACARONI,VEG,DRY,ENR",
"MACARONI,VEG,CKD,ENR",
"MACARONI,WHOLE-WHEAT,DRY",
"MACARONI,WHOLE-WHEAT,CKD",
"NOODLES,EGG,DRY,ENRICHED",
"NOODLES,EGG,CKD,ENR",
"NOODLES,EGG,SPINACH,DRY,ENR",
"NOODLES,EGG,SPINACH,CKD,ENR",
"NOODLES,CHINESE,CHOW MEIN",
"NOODLES,JAPANESE,SOBA,DRY",
"NOODLES,JAPANESE,SOBA,CKD",
"NOODLES,JAPANESE,SOMEN,DRY",
"NOODLES,JAPANESE,SOMEN,CKD",
"NOODLES,FLAT,CRUNCHY,CHINESE RESTAURANT",
"SPAGHETTI,DRY,ENRICHED",
"SPAGHETTI,CKD,ENR,WO/ SALT",
"SPAGHETTI,PROTEIN-FORTIFIED,DRY,ENR (N X 5.70)",
"SPAGHETTI,PROTEIN-FORTIFIED,CKD,ENR (N X 5.70)",
"SPAGHETTI,WHOLE-WHEAT,DRY",
"SPAGHETTI,WHOLE-WHEAT,CKD",
"SPAGHETTI,SPINACH,DRY",
"SPAGHETTI,SPINACH,COOKED",
"WHEAT FLOURS,BREAD,UNENR",
BARLEY FLOUR OR MEAL,
BARLEY MALT FLR,
"OAT FLR,PART DEBRANNED",
"RICE NOODLES,DRY",
"RICE NOODLES,COOKED",
"QUINOA,CKD",
"KAMUT,UNCKD",
"KAMUT,CKD",
"SPELT,UNCKD",
"SPELT,CKD",
"TEFF,UNCKD",
"TEFF,CKD",
"MACARONI,PROTEIN-FORTIFIED,DRY,ENR,(N X 6.25)",
"MACARONI,PROTEIN-FORTIFIED,CKD,ENR,(N X 6.25)",
"NOODLES,EGG,CKD,ENR,W/ SALT",
"CORN,WHITE",
"CORN FLR,WHOLE-GRAIN,BLUE (HARINA DE MAIZ MORADO)",
"CORN FLR,WHOLE-GRAIN,WHITE",
"CORN FLR,MASA,ENR,YEL",
"CORNMEAL,WHOLE-GRAIN,WHITE",
"SPAGHETTI,CKD,ENR,W/ SALT",
"CORNMEAL,DEGERMED,ENR,WHITE",
"CORNMEAL,SELF-RISING,BOLTED,PLN,ENR,WHITE",
"CORNMEAL,SELF-RISING,BOLTED,W/WHEAT FLR,ENR,WHITE",
"CORNMEAL,SELF-RISING,DEGERMED,ENR,WHITE",
"HOMINY,CANNED,YELLOW",
"RICE,WHITE,LONG-GRAIN,REG,CKD,ENR,W/SALT",
"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,CALCIUM-FORTIFIED",
"MACARONI,CKD,UNENR",
"NOODLES,EGG,DRY,UNENR",
"NOODLES,EGG,CKD,UNENR,WO/ SALT",
"SPAGHETTI,DRY,UNENRICHED",
"SPAGHETTI,CKD,UNENR,WO/ SALT",
"CORNMEAL,DEGERMED,UNENR,YEL",
"RICE,WHITE,LONG-GRAIN,REG,RAW,UNENR",
"RICE,WHITE,LONG-GRAIN,REG,CKD,UNENR,WO/SALT",
"RICE,WHITE,LONG-GRAIN,PARBLD,UNENR,DRY",
"RICE,WHITE,LONG-GRAIN,PARBLD,UNENR,CKD",
"RICE,WHITE,MEDIUM-GRAIN,RAW,UNENR",
"RICE,WHITE,MEDIUM-GRAIN,CKD,UNENR",
"RICE,WHITE,SHORT-GRAIN,RAW,UNENR",
"RICE,WHITE,SHORT-GRAIN,CKD,UNENR",
"SEMOLINA,UNENRICHED",
"WHEAT FLR,WHITE,ALL-PURPOSE,UNENR",
"MACARONI,DRY,UNENRICHED",
"NOODLES,EGG,CKD,UNENR,W/ SALT",
"SPAGHETTI,CKD,UNENR,W/ SALT",
"CORNMEAL,DEGERMED,UNENR,WHITE",
"SPAGHETTI,PROTEIN-FORTIFIED,CKD,ENR (N X 6.25)",
"RICE,WHITE,LONG-GRAIN,REG,CKD,UNENR,W/SALT",
"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,UNBLEACHED",
"SPAGHETTI,PROTEIN-FORTIFIED,DRY,ENR (N X 6.25)",
"WHEAT FLR,WHITE (INDUSTRIAL),9% PROT,BLEACHED,ENR",
"WHEAT FLR,WHITE (INDUSTRIAL),9% PROT,BLEACHED,UNENR",
"WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,BLEACHED,ENR",
"WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,BLEACHED,UNENR",
"WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,UNBLEACHED,ENR",
"WHEAT FLR,WHITE (INDUSTRIAL),11.5% PROT,BLEACHED,ENR",
"WHEAT FLR,WHITE (INDUSTRIAL),11.5% PROT,BLEACHED,UNENR",
"WHEAT FLR,WHITE (INDUSTRIAL),11.5% PROT,UNBLEACHED,ENR",
"WHEAT FLR,WHITE (INDUSTRIAL),13% PROT,BLEACHED,ENR",
"WHEAT FLR,WHITE (INDUSTRIAL),13% PROT,BLEACHED,UNENR",
"WHEAT FLR,WHITE (INDUSTRIAL),15% PROT,BLEACHED,ENR",
"WHEAT FLR,WHITE (INDUSTRIAL),15% PROT,BLEACHED,UNENR",
FAST FOODS  BISCUIT  W/ EGG,
"FAST FOODS,BISCUIT,W/EGG&BACON",
"FAST FOODS,BISCUIT,W/EGG&HAM",
"BREAKFAST ITEMS,BISCUIT W/EGG&SAUSAGE",
"FAST FOODS,BISCUIT W/ EGG & STEAK",
"FAST FOODS,BISCUIT,W/EGG,CHS,&BACON",
"FAST FOODS,BISCUIT,W/HAM",
"FAST FOODS,BISCUIT,W/SAUSAGE",
"FAST FOODS,CROISSANT,W/EGG&CHS",
"FAST FOODS,CROISSANT,W/EGG,CHS,&BACON",
"FAST FOODS,CROISSANT,W/EGG,CHS,&HAM",
"FAST FOODS,CROISSANT,W/EGG,CHS,&SAUSAGE",
"FAST FOODS,DANISH PASTRY,CHS",
"FAST FOODS,DANISH PASTRY,CINN",
"FAST FOODS,DANISH PASTRY,FRUIT",
"FAST FOODS,EGG,SCRAMBLED",
"FAST FOODS,ENG MUFFIN,W/BUTTER",
"FAST FOODS,ENG MUFFIN,W/CHS&SAUSAGE",
"FAST FOODS,ENG MUFFIN,W/EGG,CHS,&CANADIAN BACON",
"FAST FOODS,ENG MUFFIN,W/EGG,CHS,&SAUSAGE",
"FAST FOODS,FRENCH TOAST W/ BUTTER",
"FAST FOODS,FRENCH TOAST STKS",
"FAST FOODS,PANCAKES W/BUTTER&SYRUP",
"FAST FOODS,POTATOES,HASHED BROWN",
"FAST FOODS,BROWNIE",
"FAST FOODS,ICE MILK,VANILLA,SOFT-SERVE,W/CONE",
"FAST FOODS,COOKIES,ANIMAL CRACKERS",
"FAST FOODS,COOKIES,CHOC CHIP",
"FAST FOODS,SUNDAE,CARAMEL",
"FAST FOODS,SUNDAE,HOT FUDGE",
"FAST FOODS,SUNDAE,STRAWBERRY",
"FAST FOODS,CHICK,BREADED&FRIED,DK MEAT (DRUMSTK OR THIGH)",
"FAST FOODS,CHICK,BREADED&FRIED,LT MEAT (BREAST OR WING)",
"FAST FOODS,CHILI CON CARNE",
"FAST FOODS,CLAMS,BREADED&FRIED",
"ENTREES,CRAB CAKE",
"ENTREES,FISH FILLET,BATTERED OR BREADED,&FRIED",
"FAST FOODS,OYSTERS,BATTERED OR BREADED,&FRIED",
"FAST FOODS,SALAD,VEG,TOSSED,WO/DRSNG",
"FAST FOODS,SALAD,VEG,TOSSED,WO/DRSNG,W/CHS&EGG",
"FAST FOODS,SALAD,VEG,TOSSED,WO/DRSNG,W/CHICK",
"FAST FOODS,SALAD,VEG,TOSSED,WO/DRSNG,W/PASTA&SEAFOOD",
"FAST FOODS,SALAD,VEG,TOSSED,WO/DRSNG,W/SHRIMP",
"FAST FOODS,SALAD,VEG TOSSED,WO/DRSNG,W/TURKEY,HAM&CHS",
"FAST FOODS,SCALLOPS,BREADED&FRIED",
"FAST FOODS,SHRIMP,BREADED&FRIED",
"FAST FOODS,BURRITO,W/BNS",
"FAST FOODS,BURRITO,W/BNS&CHS",
"FAST FOODS,BURRITO,W/BNS&CHILI PEPPERS",
"FAST FOODS,BURRITO,W/BNS&MEAT",
"FAST FOODS,BURRITO,W/BNS,CHS,&BF",
"FAST FOODS,BURRITO,W/BNS,CHS,&CHILI PEPPERS",
"FAST FOODS,BURRITO,W/BF",
"FAST FOODS,BURRITO,W/BF&CHILI PEPPERS",
"FAST FOODS,BURRITO,W/BF,CHS,&CHILI PEPPERS",
"FAST FOODS,BURRITO,W/FRUIT (APPL OR CHERRY)",
"FAST FOODS,CHIMICHANGA,W/BF",
"FAST FOODS,CHIMICHANGA,W/BF&CHS",
"FAST FOODS,CHIMICHANGA,W/BF&RED CHILI PEPPERS",
"FAST FOODS,CHIMICHANGA,W/BF,CHS,&RED CHILI PEPPERS",
"FAST FOODS,ENCHILADA,W/CHS",
"FAST FOODS,ENCHILADA,W/CHS&BF",
"FAST FOODS,ENCHIRITO,W/CHS,BF,&BNS",
"FAST FOODS,FRIJOLES W/CHS",
"FAST FOODS,NACHOS,W/CHS",
"FAST FOODS,NACHOS,W/CHS&JALAPENO PEPPERS",
"FAST FOODS,NACHOS,W/CHS,BNS,GROUND BF,&PEPPERS",
"FAST FOODS,NACHOS,W/CINN&SUGAR",
"FAST FOODS,TACO",
"FAST FOODS,TACO SALAD",
"FAST FOODS,TACO SALAD W/CHILI CON CARNE",
"FAST FOODS,TOSTADA,W/BNS&CHS",
"FAST FOODS,TOSTADA,W/BNS,BF,&CHS",
"FAST FOODS,TOSTADA,W/BF&CHS",
TOSTADA WITH GUACAMOLE,
"FAST FOODS,CHEESEBURGER; SINGLE,REG PATTY; PLN",
"FAST FOODS,CHEESEBURGER; SINGLE,REG PATTY,W/ CONDMNT",
"FAST FOODS,CHEESEBURGER; SINGLE,REG PATTY,W/ CONDMNT & VEG",
"FAST FOODS,CHEESEBURGER; DOUBLE,REG PATTY; PLN",
"FAST FOODS,CHEESEBURGER; DOUBLE,REG PATTY,W/ CONDMNT & VEG",
"FST FOODS, CHSBRGR, REG, DOUBLE PATTY BUN, PLAIN",
