things,places
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,BURGER KING #10295
KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,BURGER KING #1950
KRAFT VELVEETA PAST PROCESS CHS SPRD,BURGER KING #2610
KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,"BURKE'S CAFE, INCORPORATED"
KRAFT BREAKSTONE'S RED FAT SOUR CRM,BURKE'S CAF/ COMEDY FACTORY
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,BUSTER'S PUB
KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),"BUTTS & BETTY'S TAVERN, INC."
KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),B-WATCH
KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),BYZANTIO CAF
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),CAF AZAFRAN
"CREAM,HALF & HALF,FAT FREE",CAF EXPRESS
REDDI WIP FAT FREE WHIPPED TOPPING,CAF GIA
"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",CAF GOURMET
"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",CAFE' INTERNATIONALE
"CHEESE,PARMESAN,DRY GRATED,RED FAT",CAF LATTE 'DA
"CREAM SUB,FLAV,LIQ",CAFE MANET
"CREAM SUB,FLAV,POWDERED","CAF ON THE SQUARE, LLC"
"CHEESE,PROVOLONE,RED FAT",CAF SUSSIE'S
"CHEESE,MEXICAN,BLEND,RED FAT",CAFE ZEN
"EGG MIX,USDA CMDTY",CALIFORNIA PIZZA KITCHEN
"ALLSPICE,GROUND",CAMDEN PUB
ANISE SEED,CAMERON'S SEAFOOD
"SPICES,BASIL,DRIED",CANTINA LAS AMERICAS/LA RUMBA
"SPICES,BAY LEAF",CANTON COVE
CARAWAY SEED,CANTON STATION
"SPICES,CARDAMOM",CANTON'S PEARLS
CELERY SEED,CANTON'S PORTSIDE TAVERN
"CHERVIL,DRIED",CAPTAIN LARRY'S
CHILI POWDER,caribbean paradise
"CINNAMON,GROUND",CARIBOU COFFEE
"CLOVES,GROUND",CARL REFEERS BAR & GRILL
"CORIANDER LEAF,DRIED",CARLOS O'CHARLIES
CORIANDER SEED,CARL'S LITTLE HOUSE
CUMIN SEED,CARLYLE CLUB
CURRY POWDER,CAROLINAS TEX- MEX RESTAURANT
DILL SEED,CAROLINA'S TEX-MEX RESTURANT
"DILL WEED,DRIED",CARROLL STATION
FENNEL SEED,CARROLL STATION
FENUGREEK SEED,CASSANOVIA
GARLIC POWDER,CASTAWAY'S BAR &  GRILL
"GINGER,GROUND",CATALINA RESTAURANT
"MACE,GROUND",CATCH 22 SALOON
"MARJORAM,DRIED",CATON HOUSE RESTAURANT
"MUSTARD SEED,YELLOW",CATTLE & FIN GRILL
"NUTMEG,GROUND",CAZBAR
ONION POWDER,CC LOUNGE
"SPICES,OREGANO,DRIED",CEASAR'S DEN
PAPRIKA,CEDONIA INN
"PARSLEY,DRIED","CENTER CLUB, INCORPORATED"
"PEPPER,BLACK",CENTER STAGE
"PEPPER,RED OR CAYENNE",CENTRAL STATION
"PEPPER,WHITE",CERIELLO FINE FOODS
POPPY SEED,CHAMPAGNE TONY'S
POULTRY SEASONING,"CHARLES & MADISON, LLC"
PUMPKIN PIE SPICE,CHARLES RESTAURANT  &  CARRYOUT
"ROSEMARY,DRIED",CHARLES ST DELI
SAFFRON,CHARLES VILLAGE PUB
"SAGE,GROUND",CHARLESTON
"SAVORY,GROUND",CHARLIE & DEE RESTAURANT
"SPICES,TARRAGON,DRIED",CHARLOTTE'S
"SPICES,THYME,DRIED",CHARM CITY INN
"TURMERIC,GROUND",CHAZZ &  REN'E
"BASIL,FRESH",CHEERLEADERS
"DILL WEED,FRSH",CHEERLEADERS SPORTS BAR
"MUSTARD,PREPARED,YELLOW",CHEF PAOLINO
"SALT,TABLE",CHESAPEAKE BAY RESTAURANT
"VINEGAR,CIDER",CHESAPEAKE WINE COMPANY
"THYME,FRSH",CHIAPPARELLI'S RESTAURANT
VANILLA EXTRACT,CHIC & TROUT (1007-09)
"VANILLA EXTRACT,IMITN,ALCOHOL",CHICKEN RICO
"VANILLA EXTRACT,IMITN,NO ALCOHOL",CHIMES CAF
"VINEGAR,DISTILLED",CHINA CHEF
"CAPERS,CANNED",CHINA EAST
"HORSERADISH,PREPARED",CHINA EUTAW EXPRESS
"ROSEMARY,FRESH",CHINA GARDEN
"PEPPERMINT,FRESH",CHINA WOK
"SPEARMINT,FRESH",CHINATOWN CAF
"SPEARMINT,DRIED",CHINESE DELIGHT
